name,popularity,uri
イチブトゼンブ,57,spotify:track:3IYcbagYZ9z1Svaw8B33Pd
きみとなら,54,spotify:track:1xVtyFtguoNFBiNJ2DxqxR
BAD COMMUNICATION,53,spotify:track:07sqtGCWKNXhFEBg28zZ8U
いつかのメリークリスマス,52,spotify:track:3Ro8jrbsWu0VSk1odLLYuo
LOVE PHANTOM,47,spotify:track:6rcPP3eWwKcUrIEWb1bR5S
ultra soul,46,spotify:track:4zz5dSunCrg0pmNT4ZzBf5
愛のままにわがままに 僕は君だけを傷つけない,43,spotify:track:0tY2EdfrJYjs9cTyglVmaq
ZERO,39,spotify:track:2qNZAHdE9SlmVAHRIGXofT
ALONE,39,spotify:track:54kqQ4WDZFy6GDJSNJ5PWE
今夜月の見える丘に,37,spotify:track:3lY4xuQhj0SJ8M7PS4ykah
